"sic","sicDescription","count"
"4833","Television Broadcasting Stations","173"
"7310","Services-Advertising","170"
"8200","Services-Educational Services","167"
"8731","Services-Commercial Physical & Biological Research","163"
"6799","Investors, NEC","161"
"2721","Periodicals: Publishing or  Publishing & Printing","155"
"1531","Operative Builders","154"
"3669","Communications Equipment, NEC","154"
"4931","Electric & Other Services Combined","151"
"6141","Personal Credit Institutions","149"
"8093","Services-Specialty Outpatient Facilities, NEC","149"
"3728","Aircraft Parts & Auxiliary Equipment, NEC","138"
"7200","Services-Personal Services","137"
"5411","Retail-Grocery Stores","135"
"8711","Services-Engineering Services","134"
"4922","Natural Gas Transmission","134"
"3577","Computer Peripheral Equipment, NEC","133"
"2911","Petroleum Refining","133"
"6153","Short-Term Business Credit Institutions","133"
"3842","Orthopedic, Prosthetic & Surgical Appliances & Supplies","133"
"6282","Investment Advice","129"
"2835","In Vitro & In Vivo Diagnostic Substances","129"
"6794","Patent Owners & Lessors","129"
"1389","Oil & Gas Field Services, NEC","128"
"2080","Beverages","128"
"7311","Services-Advertising Agencies","126"
"3089","Plastics Products, NEC","120"
"6513","Operators of  Apartment Buildings","120"
"2833","Medicinal Chemicals & Botanical Products","119"
"8071","Services-Medical Laboratories","118"
"5140","Wholesale-Groceries & Related Products","118"
"2090","Miscellaneous Food Preparations & Kindred Products","115"
"6552","Land Subdividers & Developers (No Cemeteries)","114"
"3312","Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)","113"
"3711","Motor Vehicles & Passenger Car Bodies","110"
"4953","Refuse Systems","109"
"3576","Computer Communications Equipment","109"
"2844","Perfumes, Cosmetics & Other Toilet Preparations","106"
"7380","Services-Miscellaneous Business Services","105"
"3571","Electronic Computers","105"
"5900","Retail-Miscellaneous Retail","105"
"3690","Miscellaneous Electrical Machinery, Equipment & Supplies","103"
"0100","Agricultural Production-Crops","103"
"4512","Air Transportation, Scheduled","102"
"2870","Agricultural Chemicals","102"
"6200","Security & Commodity Brokers, Dealers, Exchanges & Services","101"
"3559","Special Industry Machinery, NEC","100"
"5122","Wholesale-Drugs, Proprietaries & Druggists' Sundries","99"
"4700","Transportation Services","99"
"7363","Services-Help Supply Services","97"
"3679","Electronic Components, NEC","97"
"5090","Wholesale-Misc Durable Goods","97"
"8062","Services-General Medical & Surgical Hospitals, NEC","96"
"3990","Miscellaneous Manufacturing Industries","93"
"8741","Services-Management Services","92"
"1221","Bituminous Coal & Lignite Surface Mining","92"
"4400","Water Transportation","92"
"4924","Natural Gas Distribution","91"
"6411","Insurance Agents, Brokers & Service","91"
"2890","Miscellaneous Chemical Products","91"
"6029","Commercial Banks, NEC","90"
"4955","Hazardous Waste Management","89"
"3812","Search, Detection, Navigation, Guidance, Aeronautical Sys","88"
"2711","Newspapers: Publishing or  Publishing & Printing","88"
"5045","Wholesale-Computers & Peripheral Equipment & Software","87"
"3829","Measuring & Controlling Devices, NEC","86"
"3949","Sporting & Athletic Goods, NEC","86"
"3640","Electric Lighting & Wiring Equipment","86"
"6531","Real Estate Agents & Managers (For Others)","86"
"4412","Deep Sea Foreign Transportation of  Freight","86"
"3620","Electrical Industrial Apparatus","84"
"4213","Trucking (No Local)","84"
"5912","Retail-Drug Stores and Proprietary Stores","83"
"8011","Services-Offices & Clinics of  Doctors of  Medicine","83"
"5331","Retail-Variety Stores","82"
"1700","Construction - Special Trade Contractors","81"
"2300","Apparel & Other Finishd Prods of  Fabrics & Similar Matl","80"
"7948","Services-Racing, Including Track Operation","80"
"2670","Converted Paper & Paperboard Prods (No Contaners/Boxes)","79"
"3826","Laboratory Analytical Instruments","78"
"8000","Services-Health Services","77"
"2800","Chemicals & Allied Products","76"
"5190","Wholesale-Miscellaneous Nondurable Goods","74"
"2821","Plastic Materials, Synth Resins & Nonvulcan Elastomers","73"
"8888","Foreign Governments","73"
"2750","Commercial Printing","72"
"3572","Computer Storage Devices","72"
"5960","Retail-Nonstore Retailers","72"
"3823","Industrial Instruments For Measurement, Display, and Control","67"
"3825","Instruments For Meas & Testing of  Electricity & Elec Signals","67"
"8082","Services-Home Health Care Services","66"
"5940","Retail-Miscellaneous Shopping Goods Stores","65"
"6324","Hospital & Medical Service Plans","65"
"4100","Local & Suburban Transit & Interurban Hwy Passenger Trans","65"
"2621","Paper Mills","64"
"3670","Electronic Components & Accessories","64"
"7830","Services-Motion Picture Theaters","64"
"2810","Industrial Inorganic Chemicals","64"
"2086","Bottled & Canned Soft Drinks & Carbonated Waters","63"
"3651","Household Audio & Video Equipment","63"
"5047","Wholesale-Medical, Dental & Hospital Equipment & Supplies","63"
"5311","Retail-Department Stores","62"
"7377","Services-Computer Rental & Leasing","62"
"1520","General Bldg Contractors - Residential Bldgs","62"
"7819","Services-Allied To Motion Picture Production","62"
"4220","Public Warehousing & Storage","61"
"1090","Miscellaneous Metal Ores","61"
"2000","Food and Kindred Products","60"
"6159","Miscellaneous Business Credit Institution","60"
"5013","Wholesale-Motor Vehicle Supplies & New Parts","59"
"3721","Aircraft","59"
"2060","Sugar & Confectionery Products","58"
"5065","Wholesale-Electronic Parts & Equipment, NEC","58"
"4522","Air Transportation, Nonscheduled","58"
"4731","Arrangement of  Transportation of  Freight & Cargo","58"
"3140","Footwear, (No Rubber)","57"
"4011","Railroads, Line-Haul Operating","56"
"5621","Retail-Women's Clothing Stores","56"
"3460","Metal Forgings & Stampings","56"
"3590","Misc Industrial & Commercial Machinery & Equipment","55"
"5141","Wholesale-Groceries, General Line","55"
"6519","Lessors of  Real Property, NEC","54"
"2082","Malt Beverages","53"
"2050","Bakery Products","53"
"5531","Retail-Auto & Home Supply Stores","53"
"3533","Oil & Gas Field Machinery & Equipment","52"
"8050","Services-Nursing & Personal Care Facilities","52"
"1600","Heavy Construction Other Than Bldg Const - Contractors","51"
"5400","Retail-Food Stores","51"
"6351","Surety Insurance","50"
"2741","Miscellaneous Publishing","50"
"0700","Agricultural Services","50"
"5600","Retail-Apparel & Accessory Stores","49"
"3490","Miscellaneous Fabricated Metal Products","49"
"3585","Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip","49"
"2330","Women's, Misses':  and Juniors Outerwear","49"
"2510","Household Furniture","49"
"3580","Refrigeration & Service Industry Machinery","49"
"3944","Games, Toys & Children's Vehicles (No Dolls & Bicycles)","49"
"7822","Services-Motion Picture & Video Tape Distribution","49"
"7500","Services-Automotive Repair, Services & Parking","48"
"1731","Electrical Work","48"
"2650","Paperboard Containers & Boxes","48"
"2400","Lumber & Wood Products (No Furniture)","48"
"5172","Wholesale-Petroleum & Petroleum Products (No Bulk Stations)","47"
"3672","Printed Circuit Boards","47"
"3080","Miscellaneous Plastics Products","47"
"1220","Silver Ores","47"
"7381","Services-Detective, Guard & Armored Car Services","46"
"2221","Broadwoven Fabric Mills, Man Made Fiber & Silk","45"
"2731","Books: Publishing or  Publishing & Printing","45"
"3652","Phonograph Records & Prerecorded Audio Tapes & Disks","45"
"7510","Services-Auto Rental & Leasing (No Drivers)","45"
"5412","Retail-Convenience Stores","45"
"3730","Ship & Boat Building & Repairing","44"
"4923","Natural Gas Transmisison & Distribution","44"
"3510","Engines & Turbines","44"
"3569","General Industrial Machinery & Equipment, NEC","44"
"5810","Retail-Eating & Drinking Places","44"
"3560","General Industrial Machinery & Equipment","43"
"3290","Abrasive, Asbestos & Misc Nonmetallic Mineral Prods","43"
"7320","Services-Consumer Credit Reporting, Collection Agencies","41"
"4610","Pipe Lines (No Natural Gas)","41"
"3861","Photographic Equipment & Supplies","40"
"2200","Textile Mill Products","40"
"2111","Cigarettes","40"
"4941","Water Supply","39"
"2015","Poultry Slaughtering and Processing","39"
"2020","Dairy Products","39"
"2320","Men's & Boys' Furnishgs, Work Clothg, & Allied Garments","39"
"3310","Steel Works, Blast Furnaces & Rolling & Finishing Mills","39"
"5700","Retail-Home Furniture, Furnishings & Equipment Stores","38"
"2851","Paints, Varnishes, Lacquers, Enamels & Allied Prods","38"
"3751","Motorcycles, Bicycles & Parts","38"
"7350","Services-Miscellaneous Equipment Rental & Leasing","38"
"7997","Services-Membership Sports & Recreation Clubs","38"
"4822","Telegraph & Other Message Communications","38"
"2040","Grain Mill Products","37"
"5160","Wholesale-Chemicals & Allied Products","37"
"3523","Farm Machinery & Equipment","37"
"2030","Canned, Frozen & Preservd Fruit, Veg & Food Specialties","37"
"3350","Rolling Drawing & Extruding of  Nonferrous Metals","37"
"4991","Cogeneration Services & Small Power Producers","37"
"2840","Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics","37"
"3851","Ophthalmic Goods","36"
"6510","Real Estate Operators (No Developers) & Lessors","36"
"5010","Wholesale-Motor Vehicles & Motor Vehicle Parts & Supplies","36"
"2390","Miscellaneous Fabricated Textile Products","35"
"3570","Computer & office Equipment","35"
"5080","Wholesale-Machinery, Equipment & Supplies","35"
"3621","Motors & Generators","34"
"2430","Millwood, Veneer, Plywood, & Structural Wood Members","34"
"4210","Trucking & Courier Services (No Air)","34"
"3540","Metalworkg Machinery & Equipment","34"
"8700","Services-Engineering, Accounting, Research, Management","34"
"3827","Optical Instruments & Lenses","34"
"6099","Functions Related To Depository Banking, NEC","34"
"2842","Specialty Cleaning, Polishing and Sanitation Preparations","33"
"3531","Construction Machinery & Equip","32"
"5731","Retail-Radio, Tv & Consumer Electronics Stores","32"
"5084","Wholesale-Industrial Machinery & Equipment","32"
"8734","Services-Testing Laboratories","31"
"3634","Electric Housewares & Fans","31"
"7000","Hotels, Rooming Houses, Camps & Other Lodging Places","31"
"0200","Agricultural Prod-Livestock & Animal Specialties","31"
"0800","Forestry","31"
"1540","General Bldg Contractors - Nonresidential Bldgs","30"
"3320","Iron & Steel Foundries","30"
"3060","Fabricated Rubber Products, NEC","30"
"8060","Services-Hospitals","30"
"6172","Finance Lessors","30"
"3440","Fabricated Structural Metal Products","30"
"4900","Electric, Gas & Sanitary Services","30"
"5040","Wholesale-Professional & Commercial Equipment & Supplies","29"
"2761","Manifold Business Forms","29"
"7361","Services-Employment Agencies","29"
"7340","Services-To Dwellings & Other Buildings","29"
"6163","Loan Brokers","29"
"2211","Broadwoven Fabric Mills, Cotton","28"
"6792","Oil Royalty Traders","28"
"3334","Primary Production of  Aluminum","28"
"2820","Plastic Material, Synth Resin/Rubber, Cellulos (No Glass)","28"
"3822","Auto Controls For Regulating Residential & Comml Environments","28"
"5070","Wholesale-Hardware & Plumbing & Heating Equipment & Supplies","27"
"5110","Wholesale-Paper & Paper Products","27"
"3537","Industrial Trucks, Tractors, Trailors & Stackers","27"
"6532","Real Estate Dealers (For Their Own Account)","27"
"5944","Retail-Jewelry Stores","27"
"4950","Sanitary Services","27"
"3790","Miscellaneous Transportation Equipment","26"
"5051","Wholesale-Metals Service Centers & of fices","26"
"3843","Dental Equipment & Supplies","26"
"5211","Retail-Lumber & Other Building Materials Dealers","26"
"3433","Heating Equipment, Except Electric & Warm Air Furnaces","26"
"3564","Industrial & Commercial Fans & Blowers & Air Purifing Equip","25"
"3678","Electronic Connectors","25"
"3081","Unsupported Plastics Film & Sheet","25"
"3420","Cutlery, Handtools & General Hardware","25"
"5735","Retail-Record & Prerecorded Tape Stores","25"
"3911","Jewelry, Precious Metal","25"
"5171","Wholesale-Petroleum Bulk Stations & Terminals","25"
"3550","Special Industry Machinery (No Metalworking Machinery)","25"
"5099","Wholesale-Durable Goods, NEC","25"
"5180","Wholesale-Beer, Wine & Distilled Alcoholic Beverages","25"
"3743","Railroad Equipment","24"
"5063","Wholesale-Electrical Apparatus & Equipment, Wiring Supplies","24"
"3579","Office Machines, NEC","24"
"2673","Plastics, Foil & Coated Paper Bags","24"
"5130","Wholesale-Apparel, Piece Goods & Notions","24"
"3443","Fabricated Plate Work (Boiler Shops)","23"
"5094","Wholesale-Jewelry, Watches, Precious Stones & Metals","23"
"1623","Water, Sewer, Pipeline, Comm & Power Line Construction","23"
"2590","Miscellaneous Furniture & Fixtures","23"
"2452","Prefabricated Wood Bldgs & Components","23"
"8744","Services-Facilities Support Management Services","23"
"3330","Primary Smelting & Refining of  Nonferrous Metals","22"
"3411","Metal Cans","22"
"2631","Paperboard Mills","22"
"3360","Nonferrous Foundries (Castings)","22"
"5712","Retail-Furniture Stores","22"
"2340","Women's, Misses':  Children's & Infants' Undergarments","22"
"2033","Canned, Fruits, Veg, Preserves, Jams & Jellies","22"
"8900","Services-Services, NEC","22"
"5651","Retail-Family Clothing Stores","21"
"3480","Ordnance & Accessories, (No Vehicles/Guided Missiles)","21"
"3272","Concrete Products, Except Block & Brick","21"
"3470","Coating, Engraving & Allied Services","21"
"3821","Laboratory Apparatus & Furniture","21"
"7600","Services-Miscellaneous Repair Services","21"
"7841","Services-Video Tape Rental","21"
"6399","Insurance Carriers, NEC","21"
"3578","Calculating & Accounting Machines (No Electronic Computers)","20"
"7331","Services-Direct Mail Advertising Services","20"
"3357","Drawing & Insulating of  Nonferrous Wire","20"
"6795","Mineral Royalty Traders","20"
"4581","Airports, Flying Fields & Airport Terminal Services","20"
"5734","Retail-Computer & Computer Software Stores","20"
"4513","Air Courier Services","19"
"7330","Services-Mailing, Reproduction, Commercial Art & Photography","19"
"2451","Mobile Homes","19"
"2100","Tobacco Products","19"
"2011","Meat Packing Plants","19"
"3760","Guided Missiles & Space Vehicles & Parts","19"
"5200","Retail-Building Materials, Hardware, Garden Supply","19"
"3630","Household Appliances","19"
"3720","Aircraft & Parts","19"
"4961","Steam & Air-Conditioning Supply","19"
"2511","Wood Household Furniture, (No Upholstered)","18"
"3220","Glass & Glassware, Pressed or  Blown","18"
"8300","Services-Social Services","18"
"5945","Retail-Hobby, Toy & Game Shops","18"
"3086","Plastics Foam Products","18"
"3600","Electronic & Other Electrical Equipment (No Computer Equip)","18"
"5072","Wholesale-Hardware","17"
"3844","X-Ray Apparatus & Tubes & Related Irradiation Apparatus","17"
"3270","Concrete, Gypsum & Plaster Products","17"
"2013","Sausages & Other Prepared Meat Products","17"
"6111","Federal & Federally-Sponsored Credit Agencies","17"
"3231","Glass Products, Made of  Purchased Glass","17"
"8351","Services-Child Day Care Services","17"
"7385","Services-Telephone Interconnect Systems","16"
"3555","Printing Trades Machinery & Equipment","16"
"3250","Structural Clay Products","16"
"3317","Steel Pipe & Tubes","16"
"5020","Wholesale-Furniture & Home Furnishings","16"
"2253","Knit Outerwear Mills","16"
"2522","Office Furniture (No Wood)","16"
"5661","Retail-Shoe Stores","16"
"5150","Wholesale-Farm Product Raw Materials","15"
"3724","Aircraft Engines & Engine Parts","15"
"3100","Leather & Leather Products","15"
"2024","Ice Cream & Frozen Desserts","15"
"5399","Retail-Misc General Merchandise Stores","14"
"5030","Wholesale-Lumber & Other Construction Materials","14"
"3561","Pumps & Pumping Equipment","14"
"2052","Cookies & Crackers","14"
"2421","Sawmills & Planting Mills, General","14"
"3575","Computer Terminals","14"
"3241","Cement, Hydraulic","13"
"3713","Truck & Bus Bodies","13"
"3452","Bolts, Nuts, Screws, Rivets & Washers","13"
"2891","Adhesives & Sealants","13"
"3021","Rubber & Plastics Footwear","13"
"6361","Title Insurance","13"
"4932","Gas & Other Services Combined","13"
"5064","Wholesale-Electrical Appliances, Tv & Radio Sets","13"
"3612","Power, Distribution & Specialty Transformers","12"
"0900","Fishing, Hunting and Trapping","12"
"2250","Knitting Mills","11"
"3444","Sheet Metal Work","11"
"2611","Pulp Mills","11"
"2070","Fats & Oils","11"
"3950","Pens, Pencils & Other Artists' Materials","10"
"3011","Tires & Inner Tubes","10"
"3448","Prefabricated Metal Buildings & Components","10"
"2950","Asphalt Paving & Roofing Materials","10"
"3442","Metal Doors, Sash, Frames, Moldings & Trim","10"
"3715","Truck Trailers","10"
"2092","Prepared Fresh or  Frozen Fish & Seafoods","10"
"2990","Miscellaneous Products of  Petroleum & Coal","10"
"2732","Book Printing","9"
"3532","Mining Machinery & Equip (No Oil & Gas Field Mach & Equip)","9"
"3221","Glass Containers","9"
"3873","Watches, Clocks, Clockwork Operated Devices/Parts","9"
"3281","Cut Stone & Stone Products","9"
"3942","Dolls & Stuffed Toys","9"
"3931","Musical Instruments","8"
"3567","Industrial Process Furnaces & Ovens","8"
"2531","Public Bldg & Related Furniture","8"
"2790","Service Industries For The Printing Trade","8"
"2600","Papers & Allied Products","8"
"3541","Machine Tools, Metal Cutting Types","8"
"2780","Blankbooks, Looseleaf Binders & Bookbindg & Relatd Work","8"
"5031","Wholesale-Lumber, Plywood, Millwork & Wood Panels","8"
"3390","Miscellaneous Primary Metal Products","8"
"3530","Construction, Mining & Materials Handling Machinery & Equip","8"
"3613","Switchgear & Switchboard Apparatus","8"
"3695","Magnetic & Optical Recording Media","8"
"5000","Wholesale-Durable Goods","8"
"3524","Lawn & Garden Tractors & Home Lawn & Gardens Equip","7"
"7384","Services-Photofinishing Laboratories","7"
"3562","Ball & Roller Bearings","7"
"3430","Heating Equip, Except Elec & Warm Air; & Plumbing Fixtures","7"
"3910","Jewelry, Silverware & Plated Ware","7"
"2273","Carpets & Rugs","7"
"3824","Totalizing Fluid Meters & Counting Devices","7"
"8111","Services-Legal Services","7"
"3341","Secondary Smelting & Refining of  Nonferrous Metals","7"
"3260","Pottery & Related Products","7"
"8600","Services-Membership or ganizations","7"
"2771","Greeting Cards","6"
"2540","Partitions, Shelvg, Lockers, & of fice & Store Fixtures","6"
"3716","Motor Homes","6"
"5050","Wholesale-Metals & Minerals (No Petroleum)","6"
"3050","Gaskets, Packg & Sealg Devices & Rubber & Plastics Hose","5"
"5082","Wholesale-Construction & Mining (No Petro) Machinery & Equip","5"
"7829","Services-Allied To Motion Picture Distribution","5"
"3960","Costume Jewelry & Novelties","4"
"3451","Screw Machine Products","4"
"9721","International Affairs","3"
"3677","Electronic Coils, Transformers & Other Inductors","3"
"5271","Retail-Mobile Home Dealers","3"
"4231","Terminal Maintenance Facilities For Motor Freight Transport","2"
"0888","unknown","2"
"6120","unknown","2"
"3211","Flat Glass","2"
"3412","Metal Shipping Barrels, Drums, Kegs & Pails","2"
"1044","Silver Ores","1"
"6025","unknown","1"
